ID, Y, X, City, 1cm, 1cmyear, 100cm, 100cmyear, Date
1033,10,33,原町,0.15,0.1884,0.12,0.03072,2019-04
1034,10,34,原町,0.16,0.24096,0.15,0.1884,2019-04
1035,10,35,原町,0.11,-0.02184,0.13,0.08328,2019-04
1036,10,36,原町,0.13,0.08328,0.22,0.55632,2019-04
1037,10,37,原町,0.22,0.55632,0.13,0.08328,2019-04
1038,10,38,原町,0.13,0.08328,0.11,-0.02184,2019-04
1039,10,39,小高,0.21,0.50376,0.16,0.24096,2019-04
1040,10,40,小高,0.11,-0.02184,0.13,0.08328,2019-04
1041,10,41,小高,0.13,0.08328,0.13,0.08328,2019-04
1042,10,42,小高,0.14,0.13584,0.14,0.13584,2019-04
1043,10,43,小高,0.1,-0.0744,0.14,0.13584,2019-04
1044,10,44,小高,0.2,0.4512,0.16,0.24096,2019-04
1045,10,45,小高,0.18,0.34608,0.17,0.29352,2019-04
1048,10,48,小高,0.48,1.92288,0.34,1.18704,2019-04
1049,10,49,小高,0.13,0.08328,0.17,0.29352,2019-04
1050,10,50,小高,0.12,0.03072,0.15,0.1884,2019-04
1051,10,51,小高,0.18,0.34608,0.21,0.50376,2019-04
1052,10,52,小高,0.12,0.03072,0.15,0.1884,2019-04
1103,11,03,鹿島,0.11,-0.02184,0.11,-0.02184,2019-04
1104,11,04,鹿島,0.1,-0.0744,0.1,-0.0744,2019-04
1105,11,05,鹿島,0.09,-0.12696,0.13,0.08328,2019-04
1106,11,06,鹿島,0.12,0.03072,0.09,-0.12696,2019-04
1107,11,07,鹿島,0.16,0.24096,0.18,0.34608,2019-04
1108,11,08,鹿島,0.09,-0.12696,0.05,-0.3372,2019-04
1109,11,09,鹿島,0.13,0.08328,0.12,0.03072,2019-04
1110,11,10,鹿島,0.09,-0.12696,0.09,-0.12696,2019-04
1111,11,11,鹿島,0.11,-0.02184,0.09,-0.12696,2019-04
1112,11,12,鹿島,0.12,0.03072,0.12,0.03072,2019-04
1113,11,13,鹿島,0.12,0.03072,0.1,-0.0744,2019-04
1114,11,14,鹿島,0.09,-0.12696,0.1,-0.0744,2019-04
1115,11,15,原町,0.14,0.13584,0.2,0.4512,2019-04
1116,11,16,原町,0.13,0.08328,0.16,0.24096,2019-04
1117,11,17,原町,0.18,0.34608,0.16,0.24096,2019-04
1118,11,18,原町,0.11,-0.02184,0.1,-0.0744,2019-04
1119,11,19,原町,0.1,-0.0744,0.15,0.1884,2019-04
1120,11,20,原町,0.12,0.03072,0.21,0.50376,2019-04
1121,11,21,原町,0.13,0.08328,0.13,0.08328,2019-04
1122,11,22,原町,0.1,-0.0744,0.13,0.08328,2019-04
1123,11,23,原町,0.16,0.24096,0.16,0.24096,2019-04
1124,11,24,原町,0.13,0.08328,0.12,0.03072,2019-04
1125,11,25,原町,0.13,0.08328,0.11,-0.02184,2019-04
1126,11,26,原町,0.14,0.13584,0.15,0.1884,2019-04
1127,11,27,原町,0.11,-0.02184,0.11,-0.02184,2019-04
1128,11,28,原町,0.13,0.08328,0.13,0.08328,2019-04
1129,11,29,原町,0.14,0.13584,0.17,0.29352,2019-04
1130,11,30,原町,0.16,0.24096,0.15,0.1884,2019-04
1131,11,31,原町,0.12,0.03072,0.17,0.29352,2019-04
1132,11,32,原町,0.17,0.29352,0.12,0.03072,2019-04
1133,11,33,原町,0.13,0.08328,0.15,0.1884,2019-04
1134,11,34,原町,0.16,0.24096,0.14,0.13584,2019-04
1135,11,35,原町,0.15,0.1884,0.16,0.24096,2019-04
1136,11,36,原町,0.18,0.34608,0.16,0.24096,2019-04
1137,11,37,原町,0.19,0.39864,0.12,0.03072,2019-04
1138,11,38,原町,0.19,0.39864,0.14,0.13584,2019-04
1139,11,39,小高,0.17,0.29352,0.17,0.29352,2019-04
1140,11,40,小高,0.19,0.39864,0.14,0.13584,2019-04
1141,11,41,小高,0.13,0.08328,0.09,-0.12696,2019-04
1142,11,42,小高,0.12,0.03072,0.11,-0.02184,2019-04
1143,11,43,小高,0.13,0.08328,0.12,0.03072,2019-04
1144,11,44,小高,0.23,0.60888,0.17,0.29352,2019-04
1145,11,45,小高,0.14,0.13584,0.13,0.08328,2019-04
1146,11,46,小高,0.15,0.1884,0.1,-0.0744,2019-04
1147,11,47,小高,0.18,0.34608,0.18,0.34608,2019-04
1148,11,48,小高,0.17,0.29352,0.14,0.13584,2019-04
1149,11,49,小高,0.12,0.03072,0.12,0.03072,2019-04
1150,11,50,小高,0.12,0.03072,0.1,-0.0744,2019-04
1151,11,51,小高,0.12,0.03072,0.08,-0.17952,2019-04
1152,11,52,小高,0.3,0.9768,0.37,1.34472,2019-04
1203,12,03,鹿島,0.16,0.24096,0.1,-0.0744,2019-04
1204,12,04,鹿島,0.12,0.03072,0.13,0.08328,2019-04
1205,12,05,鹿島,0.16,0.24096,0.1,-0.0744,2019-04
1206,12,06,鹿島,0.11,-0.02184,0.16,0.24096,2019-04
1207,12,07,鹿島,0.07,-0.23208,0.19,0.39864,2019-04
1208,12,08,鹿島,0.1,-0.0744,0.1,-0.0744,2019-04
1209,12,09,鹿島,0.21,0.50376,0.12,0.03072,2019-04
1210,12,10,鹿島,0.16,0.24096,0.16,0.24096,2019-04
